[Thu Nov 07 01:30:07.197403 2019] [php7:error] [pid 7572:tid 1648] [client 127.0.0.1:4422] PHP Fatal error:  Uncaught Error: Call to a member function prepare() on null in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php:198\nStack trace:\n#0 C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php(19): Survey::getSurveyRes('66')\n#1 C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php(68): ViewResultsController->handleRequest(Array)\n#2 C:\\web\\xampp\\htdocs\\form\\view_results.php(6): Controller->display()\n#3 {main}\n  thrown in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 198
[Thu Nov 07 01:30:58.347517 2019] [php7:error] [pid 7572:tid 1664] [client 127.0.0.1:4429] PHP Fatal error:  Uncaught Error: Non-static method PDO::prepare() cannot be called statically in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php:198\nStack trace:\n#0 C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php(19): Survey::getSurveyRes('66')\n#1 C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php(68): ViewResultsController->handleRequest(Array)\n#2 C:\\web\\xampp\\htdocs\\form\\view_results.php(6): Controller->display()\n#3 {main}\n  thrown in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 198
[Thu Nov 07 01:33:33.278009 2019] [php7:error] [pid 7572:tid 1648] [client 127.0.0.1:4437] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function Survey::getSurveyRes(), 1 passed in C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php on line 19 and exactly 2 expected in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php:183\nStack trace:\n#0 C:\\web\\xampp\\htdocs\\form\\controllers\\ViewResultsController.php(19): Survey::getSurveyRes('66')\n#1 C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php(68): ViewResultsController->handleRequest(Array)\n#2 C:\\web\\xampp\\htdocs\\form\\view_results.php(6): Controller->display()\n#3 {main}\n  thrown in C:\\web\\xampp\\htdocs\\form\\models\\Survey.php on line 183
[Thu Nov 07 01:34:01.650846 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4441] PHP Notice:  Trying to get property 'survey_name' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 11
[Thu Nov 07 01:34:48.609541 2019] [php7:notice] [pid 7572:tid 1648] [client 127.0.0.1:4446] PHP Notice:  Trying to get property 'survey_name' of non-object in C:\\web\\xampp\\htdocs\\form\\views\\view_results.php on line 14
[Thu Nov 07 01:55:19.806649 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4637] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/forms.php
[Thu Nov 07 01:55:19.806649 2019] [php7:notice] [pid 7572:tid 1664] [client 127.0.0.1:4637] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/forms.php
[Thu Nov 07 01:58:40.817748 2019] [php7:notice] [pid 7572:tid 1648] [client 127.0.0.1:4678] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 22, referer: http://127.0.0.1:7000/forms.php
[Thu Nov 07 01:58:40.817748 2019] [php7:notice] [pid 7572:tid 1648] [client 127.0.0.1:4678] PHP Notice:  Undefined variable: j in C:\\web\\xampp\\htdocs\\form\\views\\form_edit_choice.php on line 23, referer: http://127.0.0.1:7000/forms.php
[Thu Nov 07 02:00:07.764442 2019] [php7:warn] [pid 7572:tid 1664] [client 127.0.0.1:4716] PHP Warning:  ini_set(): A session is active. You cannot change the session module's ini settings at this time in C:\\web\\xampp\\htdocs\\form\\controllers\\Controller.php on line 155, referer: http://127.0.0.1:7000/form_edit.php
